path,class_
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard354.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic54.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper383.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal251.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass387.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass224.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic427.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper64.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard141.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard32.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper3.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard375.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic222.jpg,plastic
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard397.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/trash/trash6.jpg,trash
./data/data6/Garbage classification/Garbage classification/metal/metal120.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic230.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper471.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass48.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal18.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic218.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper142.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass465.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper7.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper592.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass140.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic123.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass160.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic29.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal26.jpg,metal
./data/data6/Garbage classification/Garbage classification/metal/metal398.jpg,metal
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard218.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal263.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper515.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper56.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper459.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal276.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic285.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper397.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper238.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard121.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic63.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic440.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic107.jpg,plastic
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard57.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/glass/glass66.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass327.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard69.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper267.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard92.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper537.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic417.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper29.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass16.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass246.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal286.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic200.jpg,plastic
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard21.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic482.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal147.jpg,metal
./data/data6/Garbage classification/Garbage classification/metal/metal353.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass270.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal325.jpg,metal
./data/data6/Garbage classification/Garbage classification/metal/metal168.jpg,metal
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard316.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/glass/glass487.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic185.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal304.jpg,metal
./data/data6/Garbage classification/Garbage classification/metal/metal32.jpg,metal
./data/data6/Garbage classification/Garbage classification/trash/trash130.jpg,trash
./data/data6/Garbage classification/Garbage classification/trash/trash27.jpg,trash
./data/data6/Garbage classification/Garbage classification/paper/paper156.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass17.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass409.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal155.jpg,metal
./data/data6/Garbage classification/Garbage classification/trash/trash75.jpg,trash
./data/data6/Garbage classification/Garbage classification/glass/glass398.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass110.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass115.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic106.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal300.jpg,metal
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard294.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic396.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass46.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard75.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal298.jpg,metal
./data/data6/Garbage classification/Garbage classification/metal/metal128.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic198.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal236.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass484.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass296.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard374.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic186.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass496.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal157.jpg,metal
./data/data6/Garbage classification/Garbage classification/metal/metal381.jpg,metal
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard112.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper367.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal186.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass203.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper370.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic181.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper58.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper479.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal197.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper441.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper346.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic416.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper272.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass30.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper440.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper299.jpg,paper
./data/data6/Garbage classification/Garbage classification/trash/trash55.jpg,trash
./data/data6/Garbage classification/Garbage classification/metal/metal343.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic371.jpg,plastic
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard194.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper366.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal297.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass488.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass191.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal324.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper276.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic421.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper293.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass36.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic301.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper378.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass119.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass231.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic463.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic77.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass210.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic51.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper135.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass122.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic403.jpg,plastic
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard355.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic382.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper458.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic372.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper416.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper245.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper196.jpg,paper
./data/data6/Garbage classification/Garbage classification/trash/trash72.jpg,trash
